Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
2525 Penn,West End,Condo,"Delivered, Selling",15  units,https://dc.urbanturf.com/pipeline/1146/2525_Penn,,,                                  Condos                              </p>,15.0,                  One- and two-bedroom condominiums                </p>,,"                  Rooftop terrace with bar, fire pit, and conversation areas to the boutique amenities such as solar powered common areas, package room and pet washing station                </p>",                  From the $500s                </p>,https://mcwb.com/properties/2525-penn/,,"                April 11th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2525 Pennsylvania Avenue NW,  Washington, DC,  20037,  ","Delivered, Selling",,38.9041477,-77.0539364
Crawford Landing Townhomes,Marshall Heights,Townhomes,"Delivered, Selling",28  units,https://dc.urbanturf.com/pipeline/1186/Crawford_Landing_Townhomes,,,                                  Townhomes                              </p>,28.0,                  Three-bedroom townhomes with parking                </p>,"                  1,500+ square feet                </p>",,                  From the low $400s                </p>,"https://www.hamelbuilders.com/portfolio-hb/crawford-landing-townhomes/#:~:text=Building%20Type:,August%202023",Bruno Clay  ,"                April 11th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4900-4910 East Capitol Street NE,  Washington, DC,  20019,  ","Delivered, Selling",,38.889911,-76.930647
The Heritage DC,Langdon,Rental,"Delivered, Leasing Up",43  units,https://dc.urbanturf.com/pipeline/629/The_Heritage_DC,,,                                  Rental apartments                              </p>,43.0,                  TBD                </p>,"                  570 - 1,050 square feet                </p>","                  Two courtyards, bicycle storage and racks, surface parking                </p>",,https://theheritagedc.com/,Rich Markus Architects  ,"                April 11th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2027 Rhode Island Ave NE,  Washington, DC,  20018,  ","Delivered, Leasing Up",,38.9291221,-76.9757212
Intersect at O Townhomes,Shaw,Townhomes,"Delivered, Selling",5  units,https://dc.urbanturf.com/pipeline/1139/Intersect_at_O_Townhomes,,,                                  Townhomes                              </p>,5.0,"                  Two-, three- and four-bedroom townhomes                </p>","                  2,600 - 3,912 square feet                </p>",,                  From $1.8M                </p>,https://www.citymarketato.com/,Shalom Baranes  ,"                April 11th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1336 8th Street NW,  Washington, DC,  20001,  ","Delivered, Selling",,38.908286,-77.0231336
Parkside,Mayfair,Townhomes & Condos,"Delivered, Selling",1500  units,https://dc.urbanturf.com/pipeline/585/Parkside,,,                                  Townhomes &amp; condos                              </p>,1500.0,"                  Apartments, condos and townhomes                </p>",,,,,K. Hovnanian Homes  ,"                April 11th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  Parkside Place NE,  Washington, DC,  20019,  ","Delivered, Selling",,38.900002,-76.949684
The Villages at Dakota Crossing,Fort Lincoln,Townhomes & Condos,"Delivered, Selling",413  units,https://dc.urbanturf.com/pipeline/179/The_Villages_at_Dakota_Crossing,,,                                  Townhomes &amp; condos                              </p>,413.0,                  Three-bedroom townhomes and condominiums                </p>,"                  Up to  2,700 square feet                </p>","                  Swimming pool, tennis courts, detailed landscaping and pocket parks                </p>",                  From the $400s                </p>,,Hickok Cole Architects  ,"                April 11th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  3810 Fort Lincoln Drive NE,  Washington, DC,  20018,  ","Delivered, Selling",,38.9223675,-76.9516846
Element 28,Bethesda,Rental,"Delivered, Selling",101  units,https://dc.urbanturf.com/pipeline/343/Element_28,,,                                  Rental apartments                              </p>,101.0,"                  Studio, one-, two- and three-bedroom homes                </p>","                  710 - 1,743 square feet                </p>","                  Bicycle workshop, wine cellar, private terraces, fitness center                </p>","                  $2,428 - $5,656                </p>",https://www.element28apts.com/,R2L:Architects  ,"                April 11th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  100 Commerce Lane,  Bethesda, MD,  20814,  ","Delivered, Selling","                    Fall 2016                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.985758,-77.095643
The Claiborne,Bethesda,Condo,"Under Construction, Not Yet Selling",58  units,https://dc.urbanturf.com/pipeline/675/The_Claiborne,,,                                  Condos                              </p>,58.0,"                  One-bedroom, two-bedroom and penthouse residences                </p>",,,,,SK+I Architecture  ,"                April 4th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4820 Auburn Avenue,  Bethesda, MD,  20814,  ","Under Construction, Not Yet Selling",,38.9907076,-77.0990448
Penn and 4th,Union Market,Condo,Planned,375  units,https://dc.urbanturf.com/pipeline/1058/Penn_and_4th,,,                                  Condos                              </p>,375.0,                  TBD                </p>,,,,,HKS Architects and Michael Marshal Design  ,"                April 4th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1345 4th Street NE,  Washington, DC,  20002,  ",Planned,,38.9102205,-76.9978648
2715 Pennsylvania Avenue NW,Georgetown,Condo,"Under Construction, Not Yet Selling",7  units,https://dc.urbanturf.com/pipeline/460/2715_Pennsylvania_Avenue_NW,,,                                  Condos                              </p>,7.0,                  TBD                </p>,,,,,"CORE architecture + design, inc.  ","                April 4th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2715 Pennsylvania Avenue NW,  Washington, DC,  20007,  ","Under Construction, Not Yet Selling",,38.9047829,-77.0563493
471 H Street NW,Chinatown,Condo or Rental - TBD,Planned,46  units,https://dc.urbanturf.com/pipeline/1226/471_H_Street_NW,,,                                  Condo or Rental - TBD                              </p>,46.0,                  TBD                </p>,,,,,Aggregate Architecture and Design  ,"                April 4th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  471-473 H Street NW,  Washington, DC,  20002,  ",Planned,,38.8998883,-77.0180809
The Ana Townhomes at Howard Road,Anacostia,Townhomes,"Under Construction, Selling",20  units,https://dc.urbanturf.com/pipeline/1264/The_Ana_Townhomes_at_Howard_Road,,,                                  Townhomes                              </p>,20.0,                  Three-bedroom townhomes                </p>,,,                  From the $600s                </p>,https://www.theanatownhomes.com/,,"                April 4th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1038 Howard Road SE,  Washington, DC,  20020,  ","Under Construction, Selling",,38.8627124,-76.9953691
Eastern Branch Boys and Girls Clubs Redevelopment,Hill East,Rental,Planned,34  units,https://dc.urbanturf.com/pipeline/764/Eastern_Branch_Boys_and_Girls_Clubs_Redevelopment,,,                                  Rental apartments                              </p>,34.0,                  TBD                </p>,,,,https://octo.quickbase.com/db/bgmd3dpcb?a=dr&amp;dfid=33&amp;rid=337,S27 Architecture  ,"                March 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  261 17th Street SE,  Washington, DC,  20003,  ",Planned,,38.8856732,-76.9810901
3215 Mount Pleasant Street NW,Mount Pleasant,Condo or Rental - TBD,"Under Construction, Not Yet Selling",9  units,https://dc.urbanturf.com/pipeline/1263/3215_Mount_Pleasant_Street_NW,,,                                  Condo or Rental - TBD                              </p>,9.0,                  TBD                </p>,,,,,KASA Architecture  ,"                March 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  3215 Mount Pleasant Street NW,  Washington, DC,  20010,  ","Under Construction, Not Yet Selling",,38.9316575,-77.038272
Parcel HK,The Parks at Walter Reed,Condo,Planned,62  units,https://dc.urbanturf.com/pipeline/1262/Parcel_HK,,,                                  Condos                              </p>,62.0,                  TBD                </p>,,,,,,"                March 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  Dahlia and 13th Street NW,  Washington, DC,  20012,  ",Planned,,,
Parcel Z Townhouses,The Parks at Walter Reed,Townhomes,Planned,37  units,https://dc.urbanturf.com/pipeline/1261/Parcel_Z_Townhouses,,,                                  Townhomes                              </p>,37.0,                  TBD                </p>,,,,,,"                March 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7150 12th St NW,  Washington, DC,  20012,  ",Planned,,38.9765654,-77.0283453
The Glade on Laurel,Takoma Park,Rental,"Delivered, Leasing Up",356  units,https://dc.urbanturf.com/pipeline/1136/The_Glade_on_Laurel,,,                                  Rental apartments                              </p>,356.0,"                  Studio, one- and two-bedroom apartments                </p>",,,,https://thegladetakoma.com/?gad_source=1&amp;gclid=CjwKCAjw7pO_BhAlEiwA4pMQvFbxUGcuS3lsctwdxF8xDufZqmXXVd2dcGuDmciHgrla62uVMoPwZxoC8lwQAvD_BwE,Eric Colbert &amp; Associates  ,"                March 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  6896 Laurel Street NW,  Washington, DC,  20012,  ","Delivered, Leasing Up",,,
Beech Tree Place,Shepherd Park,Rental,"Delivered, Leasing Up",65  units,https://dc.urbanturf.com/pipeline/1138/Beech_Tree_Place,,,                                  Rental apartments                              </p>,65.0,"                  Studios, one-, two-, and four-bedroom apartments                </p>",,,,https://beechtreeplaceapts.com/,Torti Gallas Urban  ,"                March 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7428 Georgia Avenue NW,  Washington, DC,  20012,  ","Delivered, Leasing Up","                    Summer 2024                  </p></div>, <div class=""block""><h3>Sean Aalai</h3>",38.9799717,-77.0265816
Century Blvd & Crystal Rock Dr,Germantown,Townhomes,Planned,69  units,https://dc.urbanturf.com/pipeline/1259/Century_Blvd__Crystal_Rock_Dr,,,                                  Townhomes                              </p>,69.0,                  TBD                </p>,,,,,,"                March 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  Century Blvd & Crystal Rock Dr,  Germantown, MD,  20874,  ",Planned,,,
The Faircliff,Columbia Heights,Rental,"Delivered, Leasing Up",125  units,https://dc.urbanturf.com/pipeline/1093/The_Faircliff,,,                                  Rental apartments                              </p>,125.0,                  One- and three-bedroom apartments                </p>,,,,https://www.thefaircliffdc.com/,Eric Colbert &amp; Associates  ,"                March 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2601 14th Street NW,  Washington, DC,  20009,  ","Delivered, Leasing Up","                    2025                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.923892,-77.032047
NOVEL 14th Street,Columbia Heights,Rental,"Delivered, Leasing Up",197  units,https://dc.urbanturf.com/pipeline/1094/NOVEL_14th_Street,,,                                  Rental apartments                              </p>,197.0,"                  Studios, one-bedroom, and two-bedroom apartments                </p>",,"                  Rooftop pool and clubhouse, courtyard, a gym with a treadwall and yoga room, multiple co-working rooms, and library.                </p>",,https://www.novel14thst.com,Hord Coplan Macht  ,"                March 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2601 14th Street NW,  Washington, DC,  20009,  ","Delivered, Leasing Up","                    2025                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.923892,-77.032047
The Elm,Bethesda,Rental,"Delivered, Leasing Up",456  units,https://dc.urbanturf.com/pipeline/568/The_Elm,,,                                  Rental apartments                              </p>,456.0,"                  Studios, one-, two- and three-bedroom apartments                </p>",,"                  Walking distance to Red line Metro and Purple line (MTA), underground parking, access to Capital Crescent Trail                </p>",,https://www.livetheelm.com/,Shalom Baranes Associates  ,"                March 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7272 Wisconsin Avenue,  Bethesda, MD,  20814,  ","Delivered, Leasing Up","                    2020                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.9820253,-77.0936491
The Clara,Anacostia,Rental,"Delivered, Leasing Up",81  units,https://dc.urbanturf.com/pipeline/891/The_Clara,,,                                  Rental apartments                              </p>,81.0,"                  Studio, one-, two- and three-bedroom residences                </p>",,,,https://www.theclaraonmlk.com/,DP+Partners  ,"                March 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2315 Martin Luther King Jr. Ave SE,  Washington, DC,  20020,  ","Delivered, Leasing Up",,38.8632003,-76.9918493
Ozma,NoMa,Rental,"Delivered, Leasing Up",275  units,https://dc.urbanturf.com/pipeline/969/Ozma,,,                                  Rental apartments                              </p>,275.0,"                  Studio, one-bedroom and two-bedroom apartments                </p>",,,,https://www.ozmanoma.com,,"                March 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  44 M Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up","                    2024                  </p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",38.9057252,-77.0075706
The Blagden,Shaw,Rental,"Under Construction, Not Yet Leasing",123  units,https://dc.urbanturf.com/pipeline/347/The_Blagden,,,                                  Rental apartments                              </p>,123.0,                  Fully-furnished micro-units                </p>,                  400 square feet                </p>,,,,Hickok Cole Architects  ,"                March 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  917 M Street NW,  Washington, DC,  20001,  ","Under Construction, Not Yet Leasing",                    TBD                  </p>,38.9062048,-77.0248285
The 202,NoMa,Condo,"Delivered, Leasing Up",254  units,https://dc.urbanturf.com/pipeline/1071/The_202,,,                                  Condos                              </p>,254.0,"                  Studio, one-bedroom and two-bedroom apartments                </p>",,,,https://www.the202dc.com,,"                March 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  202 Florida Avenue NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,38.9083946,-77.0032042
The Florian,NoMa,Rental,"Delivered, Leasing Up",388  units,https://dc.urbanturf.com/pipeline/1066/The_Florian,,,                                  Rental apartments                              </p>,388.0,"                  Studios, one-, two- and three-bedroom apartments                </p>",,,,https://thefloriandc.com/,,"                March 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1 Florida Avenue NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",                    August 2024                  </p>,,
Pinnacle Apartments,NoMa,Rental,"Delivered, Leasing Up",116  units,https://dc.urbanturf.com/pipeline/1068/Pinnacle_Apartments,,,                                  Rental apartments                              </p>,116.0,                  TBD                </p>,,,,https://pinnaclenomaapartments.com/,Eric Colbert &amp; Associates  ,"                March 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7 New York Avenue NE,  Studio, one-bedroom and one-bedroom and den apartments,  Washington, DC,  20002,  ","Delivered, Leasing Up",,,
Capitol Rose,Logan Circle,Condo,"Delivered, Selling",158  units,https://dc.urbanturf.com/pipeline/1163/Capitol_Rose,,,                                  Condos                              </p>,158.0,"                  Studio, one-bedroom and two-bedroom condos                </p>",,,,https://livecapitolrose.com,,"                March 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1733 16th Street NW,  Washington, DC,  20009,  ","Delivered, Selling",,,
Banner Lane,Mount Vernon Triangle,Rental,"Delivered, Leasing Up",561  units,https://dc.urbanturf.com/pipeline/1258/Banner_Lane,,,                                  Rental apartments                              </p>,561.0,"                  Studio, one-, two-, three-, and four-bedroom apartments                </p>",,,,https://www.bannerlanedc.com/,,"                March 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  44 Banner Ln,  Washington, DC,  20001,  ","Delivered, Leasing Up",,38.9044367,-77.0108308
Sursum Corda Redevelopment,NoMa,Rental,"Under Construction, Not Yet Leasing",560  units,https://dc.urbanturf.com/pipeline/472/Sursum_Corda_Redevelopment,,,                                  Rental apartments                              </p>,560.0,"                  Studios, one-, two-, three- and four-bedroom residences                </p>",,"                  Pool, fitness center, bike storage and maintenance facilities, communal rooms with kitchens                </p>",,https://www.wdgarch.com/projects/banner-lane-sursum-corda,WDG Architecture  ,"                March 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  M Street NW & 1st Street NW,  Washington, DC,  20001,  ","Under Construction, Not Yet Leasing",                    TBD                  </p>,,
Peninsula 88,Buzzard Point,Condo,"Delivered, Selling",110  units,https://dc.urbanturf.com/pipeline/614/Peninsula_88,,,                                  Condos                              </p>,110.0,"                  One- and two-bedroom units, penthouses                </p>","                  700-1,400 square feet                </p>","                  Remote concierge service, community room, Luxer package room system, car charging stations, refrigerated storage for food deliveries, dry cleaning services, bike storage, dog wash area and car wash area                </p>",                  From the $500s                </p>,,Eric Colbert &amp; Associates  ,"                March 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  88 V Street SW,  Washington, DC,  20593,  ","Delivered, Selling",,38.8645449,-77.0119033
Azure,National Landing,Rental,"Delivered, Leasing Up",189  units,https://dc.urbanturf.com/pipeline/1257/Azure,,,                                  Rental apartments                              </p>,189.0,"                  Studio, 1-Bedroom, 2-Bedroom, &amp; 3-Bedroom, Penthouse Apartments &amp; Townhomes                </p>",,,,https://www.liveazurenationallanding.com/?gad_source=1&amp;gclid=Cj0KCQiAz6q-BhCfARIsAOezPxkD7xi7jnjgCY4EqonfaSjSRx1rQM7qT0qEHx3q0MuVQjjkcAg31xoaAjBNEALw_wcB,,"                March 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  3130 South Potomac Ave,  Arlington, VA,  22202,  ","Delivered, Leasing Up",,,
Hazel,National Landing,Rental,"Delivered, Leasing Up",302  units,https://dc.urbanturf.com/pipeline/1256/Hazel,,,                                  Rental apartments                              </p>,302.0,"                  Studio, 1-bedroom, 2-bedroom, penthouse apartments and townhomes                </p>",,,,https://www.livehazelnationallanding.com/?gad_source=1&amp;gclid=Cj0KCQiAz6q-BhCfARIsAOezPxmiYwyAOJ3zk7WtDd1t2xVOKvxkSkb3d8u4ralERpQFfYJW8cbE5iUaAiRmEALw_wcB,,"                March 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  3030 South Potomac Ave,  Arlington, VA,  22202,  ","Delivered, Leasing Up",,,
Century Center Redevelopment,National Landing,Condo or Rental - TBD,Planned,329  units,https://dc.urbanturf.com/pipeline/697/Century_Center_Redevelopment,,,                                  Condo or Rental - TBD                              </p>,329.0,"                  Studio, one- and two-bedroom apartments                </p>","                  402 - 1,314 square feet                </p>","                  Roof deck, gym, inner courtyard and clubroom                </p>",,https://projects.arlingtonva.us/projects/new-century-center/,SK+I Architecture  ,"                March 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2351 Richmond Highway,  Arlington, VA,  22202,  ",Planned,,38.852967,-77.0523205
The Zoe,National Landing,Rental,"Delivered, Leasing Up",420  units,https://dc.urbanturf.com/pipeline/1254/The_Zoe,,,                                  Rental apartments                              </p>,420.0,"                  Juniors, studios, one-bedroom, and two-bedroom apartments                </p>",,,,https://www.thezoevalen.com/,,"                March 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2051 S Bell Street,  Arlington, VA,  22202,  ","Delivered, Leasing Up",,38.8573099,-77.0509142
Crystal House Expansion,National Landing,Rental,Planned,TBD,https://dc.urbanturf.com/pipeline/268/Crystal_House_Expansion,,,                                  Rental apartments                              </p>,,"                  Studio, one- and two-bedroom units                </p>",,,,,Lessard Design  ,"                March 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1900 S Eads Street,  Arlington, VA,  22202,  ",Planned,,38.8565023,-77.0542375
Americana Hotel Redevelopment,National Landing,Rental,"Under Construction, Not Yet Leasing",572  units,https://dc.urbanturf.com/pipeline/1035/Americana_Hotel_Redevelopment,,,                                  Rental apartments                              </p>,572.0,                  TBD                </p>,,,,,bKL Architecture  ,"                March 7th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1400 Richmond Highway,  Arlington, VA,  22202,  ","Under Construction, Not Yet Leasing",,38.8551028,-77.0522133
Guardian Building Redevelopment,Downtown Silver Spring,Rental,"Under Construction, Not Yet Leasing",178  units,https://dc.urbanturf.com/pipeline/742/Guardian_Building_Redevelopment,,,                                  Rental apartments                              </p>,178.0,"                  Studio, one-, two-, and three-bedroom apartments                </p>",,"                  Reflecting pool, terrace and lounges, rooftop dog run,                </p>",,https://www.revitedc.com/guardian-building/,,"                February 28th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  8605 Cameron Street,  Silver Spring, MD,  20910,  ","Under Construction, Not Yet Leasing",,38.9977146,-77.0291664
Link Apartments on H Street,Carver,Rental,"Delivered, Leasing Up",191  units,https://dc.urbanturf.com/pipeline/613/Link_Apartments_on_H_Street,,,                                  Rental apartments                              </p>,191.0,"                  Studio, one-bedroom and two-bedroom apartments                </p>",,,,https://www.linkhstreet.com/,WDG Architecture  ,"                February 28th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1701 H Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,,
The Byron,Buzzard Point,Rental,"Delivered, Leasing Up",158  units,https://dc.urbanturf.com/pipeline/1242/The_Byron,,,                                  Rental apartments                              </p>,158.0,"                  Studio, one-bedroom, two-bedroom and three-bedroom apartments                </p>","                  433-1,565 sq ft                </p>","                  FLEX gym, coworking area, a multi-sports simulator, and rooftop seating areas with fire pits.                </p>","                  $2,230 - $12,685                </p>",https://livethebyrondc.com/,,"                February 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  101 V Street SW,  Washington, DC,  20024,  ","Delivered, Leasing Up",,38.864706,-77.012343
The Stacks,Buzzard Point / Capitol Riverfront,Condos & Rental apartments,"Under Construction, Not Yet Leasing",2000+,https://dc.urbanturf.com/pipeline/901/The_Stacks,,,                                  Condos &amp; Rental apartments                              </p>,,                  TBD                </p>,,,,https://thestacks.com,,"                February 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  100 V Street SW,  Washington, DC,  20024,  ","Under Construction, Not Yet Leasing",,,
Concrete Plant Redevelopment,Buzzard Point,Rental,Planned,434  units,https://dc.urbanturf.com/pipeline/1125/Concrete_Plant_Redevelopment,,,                                  Rental apartments                              </p>,434.0,"                  Studios, one- and two-bedroom apartments                </p>",,,,,SK+I Architecture  ,"                February 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1700 Half Street SW,  Washington, DC,  20024,  ",Planned,"                    Q2/3 2026                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.86812,-77.010583
The Vermeer,Buzzard Point,Rental,"Delivered, Leasing Up",501  units,https://dc.urbanturf.com/pipeline/899/The_Vermeer,,,                                  Rental apartments                              </p>,501.0,"                  Studio, one-bedroom, two-bedroom and three-bedroom apartments                </p>",,,,https://www.livevermeer.com/,KTGY Architecture  ,"                February 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  113 Potomac Avenue SW,  Washigton, DC,  20024,  ","Delivered, Leasing Up","                    2024                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",,
MDXL Flats,Buzzard Point,Rental,"Delivered, Leasing Up",101  units,https://dc.urbanturf.com/pipeline/1124/MDXL_Flats,,,                                  Rental apartments                              </p>,101.0,                  One- to four-bedroom apartments                </p>,,,"                  $1,134 to $2,872                </p>",https://www.mdxlflats.com/,PGN Architects  ,"                February 27th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1530 First Street SW,  Washington, DC,  20024,  ","Delivered, Leasing Up","                    2024                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",,
Hechinger Mall Redevelopment,H Street Corridor,Condo or Rental - TBD,Planned,TBD,https://dc.urbanturf.com/pipeline/861/Hechinger_Mall_Redevelopment,,,                                  Condo or Rental - TBD                              </p>,,                  TBD                </p>,,,,,,"                February 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1501 Maryland Avenue NE,  Washington, DC,  20002,  ",Planned,,38.9003086,-76.9817264
Ames Center Redevelopment,Rosslyn,Condo,Planned,732  units,https://dc.urbanturf.com/pipeline/881/Ames_Center_Redevelopment,,,                                  Condos                              </p>,732.0,                  TBD                </p>,,,,https://www.rosslynva.org/development/ames-center-redevelopment,Shalom Baranes Associates  ,"                February 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1820 North Fort Myer Drive,  Arlington, VA,  22209,  ",Planned,,38.8962427,-77.0724532
Tribeca NoMa,NoMa,Rental,"Delivered, Leasing Up",99  units,https://dc.urbanturf.com/pipeline/842/Tribeca_NoMa,,,                                  Rental apartments                              </p>,99.0,                  One- and two-bedroom condominiums                </p>,,"                  Gym, co-working space, front desk concierge, roof deck with lounge seating and a fire pit, storage and a bike storage room                </p>",,https://www.tribecadc.com/,Torti Gallas + Partners  ,"                February 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  40 N Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",                    Spring 2021                  </p>,38.9075541,-77.0071453
Suffrage Point,Hyattsville,Townhomes,"Delivered, Selling",31  units,https://dc.urbanturf.com/pipeline/947/Suffrage_Point,,,                                  Townhomes                              </p>,31.0,                  Four- and five-bedroom townhomes                </p>,,,"                  From $950,000                </p>",https://www.suffragepoint.com/,,"                February 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4017 Hamilton Street,  Hyattsville, MD,  20781,  ","Delivered, Selling",,38.9530683,-76.949007
Unity Homes,Ballston,Rental,"Delivered, Leasing Up",144  units,https://dc.urbanturf.com/pipeline/848/Unity_Homes,,,                                  Rental apartments                              </p>,144.0,"                  One-, two- and three-bedroom apartments                </p>",,,,https://www.liveatunityballston.com/,DCS Design  ,"                February 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4201 Fairfax Drive,  Arlington, VA,  22201,  ","Delivered, Leasing Up",,38.8825932,-77.1108517
Vivre,Logan Circle,Rental,"Delivered, Leasing Up",49  units,https://dc.urbanturf.com/pipeline/893/Vivre,,,                                  Rental apartments                              </p>,49.0,                  One- and two-bedroom residences                </p>,,,"                  From $2,400                </p>",https://www.vivredc.com/?utm_source=urbanturf&amp;utm_medium=digital&amp;utm_campaign=urbanturf&amp;utm_id=digital,ZDS Architecture  ,"                February 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1224 M Street NW,  Washington, DC,  20005,  ","Delivered, Leasing Up","                    Winter 2022                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.9053605,-77.0290004
Lisner-Louise Dickson-Hurt Home Senior Housing,Friendship Heights,Rental,"Delivered, Leasing Up",93  units,https://dc.urbanturf.com/pipeline/988/LisnerLouise_DicksonHurt_Home_Senior_Housing,,,                                  Rental apartments                              </p>,93.0,                  One-bedroom residences                </p>,,,,https://www.lldhhome.org/,Wiencek + Associates  ,"                February 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  5425 Western Avenue,  Washington, DC,  20015,  ","Delivered, Leasing Up",,38.9624586,-77.0827739
5500 Wisconsin Avenue,Friendship Heights,Rental,"Under Construction, Not Yet Leasing",300  units,https://dc.urbanturf.com/pipeline/987/5500_Wisconsin_Avenue,,,                                  Rental apartments                              </p>,300.0,                  TBD                </p>,,,,https://www.5500wisconsin.com/,SK+I Architecture  ,"                February 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  5500 Wisconsin Avenue,  Chevy Chase, MD,  20815,  ","Under Construction, Not Yet Leasing",,38.9770294,-77.090527
Greenleaf Gardens Redevelopment,Southwest,Condos & Rental apartments,Planned,"1,410",https://dc.urbanturf.com/pipeline/905/Greenleaf_Gardens_Redevelopment,,,                                  Condos &amp; Rental apartments                              </p>,,                  TBD                </p>,,,,https://www.pennrose.com/apartments/washington-dc/greenleaf-redevelopment/,,"                February 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  203 N Street SW,  Washington, DC,  20024,  ",Planned,,38.8750863,-77.0139348
Crystal Plaza Apartments,National Landing,Rental,"Delivered, Leasing Up",400  units,https://dc.urbanturf.com/pipeline/1145/Crystal_Plaza_Apartments,,,                                  Rental apartments                              </p>,400.0,"                  Studio, one-bedroom, two-bedroom and three-bedroom apartments                </p>",,,,https://www.crystalplazaapartments.com/,STUDIOS Architecture  ,"                February 13th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2111 Richmond Highway,  Arlington, VA,  22202,  ","Delivered, Leasing Up",,38.8552078,-77.051356
