Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
2400 Columbia Pike,Columbia Pike Corridor,Rental,"Under Construction, Not Yet Leasing",120  units,https://dc.urbanturf.com/pipeline/309/2400_Columbia_Pike,,,                                  Rental apartments                              </p>,120.0,                  TBD                </p>,,,,https://www.arlingtoneconomicdevelopment.com/Locate-in-Arlington/Commercial-Development/Development-Summary-Listing-Directory-Folder/2400-Columbia-Pike-2400-Columbia-Pike,WHAPC  ,"                June 16th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  2400 Columbia Pike,  Arlington, VA,  22204,  ","Under Construction, Not Yet Leasing",,38.863395,-77.083405
3401 Columbia Pike,Columbia Pike Corridor,Condo or Rental - TBD,"Under Construction, Not Yet Leasing",250  units,https://dc.urbanturf.com/pipeline/1073/3401_Columbia_Pike,,,                                  Condo or Rental - TBD                              </p>,250.0,                  TBD                </p>,,,,,KGD Architecture  ,"                June 16th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  3401 Columbia Pike,  Arlington, VA,  22204,  ","Under Construction, Not Yet Leasing",,38.8616288,-77.0924363
Crossing,Navy Yard,Condo,"Delivered, Leasing Up",415  units,https://dc.urbanturf.com/pipeline/1011/Crossing,,,                                  Condos                              </p>,415.0,"                  Studio, one-, two-, and three-bedroom apartments                </p>","                  509 - 1,123 square feet                </p>",,,https://crossingdc.com,Handel Architects  ,"                June 16th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  949 First Street SE,  Washington, DC,  20003,  ","Delivered, Leasing Up",,38.8716043,-77.0057659
Illume,Navy Yard,Rental,"Delivered, Leasing Up",756  units,https://dc.urbanturf.com/pipeline/1010/Illume,,,                                  Rental apartments                              </p>,756.0,"                  Studio, one-, two-, and three-bedroom apartments                </p>","                  487 - 1,197 square feet                </p>",,"                  $2,252 - $5,557                </p>",https://illumedc.com,R2L:Architects  ,"                June 16th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  861 New Jersey Ave SE,  Washington, DC,  20003,  ","Delivered, Leasing Up",,38.8789542,-77.0051617
Affinity on Georgia,Silver Spring,Rental,"Delivered, Leasing Up",210  units,https://dc.urbanturf.com/pipeline/100/Affinity_on_Georgia,,,                                  Rental apartments                              </p>,210.0,"                  Studios, one- and two-bedroom apartments                </p>","                  516 - 1,239 square feet+                </p>","                  Fitness center with golf simulator, massage area, pool, concierge, underground parking                </p>","                  $1,732 - $3,151                </p>",https://www.affinityongeorgia.com,The Preston Partnership  ,"                June 16th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  8021 Georgia Avenue,  Silver Spring, MD,  20910,  ","Delivered, Leasing Up",,38.9877823,-77.0256436
Burnham Place,NoMa,Condo or Rental - TBD,Planned,1300  units,https://dc.urbanturf.com/pipeline/92/Burnham_Place,,,                                  Condo or Rental - TBD                              </p>,1300.0,                  TBD                </p>,,,,http://www.burnhamplace.com/,Shalom Baranes Associates  ,"                June 9th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  First Street NE & G Place NE,  Washington, DC,  20002,  ",Planned,,,
Firehouse Block Redevelopment,Shepherd Park,Condo or Rental - TBD,Planned,300  units,https://dc.urbanturf.com/pipeline/898/Firehouse_Block_Redevelopment,,,                                  Condo or Rental - TBD                              </p>,300.0,                  TBD                </p>,,,,https://dmped.dc.gov/sites/default/files/dc/sites/dmped/page_content/attachments/Old%20Engine%20Company%2022%20-%20one%20pager.pdf,,"                June 9th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  5760 Georgia Avenue NW,  Washington, DC,  20012,  ",Planned,,38.9592111,-77.0282793
Woodcrest Villas,Congress Heights,Townhomes,"Delivered, Selling",92  units,https://dc.urbanturf.com/pipeline/415/Woodcrest_Villas,,,                                  Townhomes                              </p>,92.0,                  Two- and three-bedroom units                </p>,,,,http://www.woodcrestvillas.com,,"                June 9th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  456 Woodcrest Drive SE,  Washington, DC,  20032,  ","Delivered, Selling",,38.837612,-76.999307
The Premier,Downtown Silver Spring,Rental,"Delivered, Leasing Up",160  units,https://dc.urbanturf.com/pipeline/47/The_Premier,,,                                  Rental apartments                              </p>,160.0,"                  Studio, one- and two-bedroom apartments                </p>","                  458 - 1,032 square feet                </p>","                  Pet-friendly, 24-hour concierge, secure garage parking, controlled access building                </p>","                  $1,298 - $2,777                </p>",https://www.edgewoodmgmt.com/apartments/md/silver-spring/the-premier/,WDG Architecture  ,"                June 9th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  8711 Georgia Avenue,  Silver Spring, MD,  20910,  ","Delivered, Leasing Up",,38.9977117,-77.0302504
Solaire Wheaton,Wheaton,Rental,"Delivered, Leasing Up",221  units,https://dc.urbanturf.com/pipeline/66/Solaire_Wheaton,,,                                  Rental apartments                              </p>,221.0,"                  Studios, one- and two-bedroom apartments                </p>","                  568 - 1,185 square feet                </p>","                  Resort style swimming pool, fitness center, cyber cafe, underground parking                </p>","                  $1,470 - $2,595                </p>",https://www.cbgbuildingcompany.com/projects/solaire-wheaton/,The Preston Partnership  ,"                June 3rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  10914 Georgia Avenue,  Silver Spring, MD,  20902,  ","Delivered, Leasing Up","                    July 2014                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",39.0352442,-77.0504305
71 Kennedy Street NW,Manor Park,Rental,Planned,47  units,https://dc.urbanturf.com/pipeline/1205/71_Kennedy_Street_NW,,,                                  Rental apartments                              </p>,47.0,                  TBD                </p>,,,,,CR Studio Architects  ,"                June 3rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  71 Kennedy Street NW,  Washington, DC,  20011,  ",Planned,,38.9567573,-77.0112564
The Vale,Walter Reed,Rental,"Delivered, Leasing Up",301  units,https://dc.urbanturf.com/pipeline/895/The_Vale,,,                                  Rental apartments                              </p>,301.0,"                  One-, two-, and three-bedroom apartments                </p>",                  487 - 973 square feet                </p>,,"                  $1,898 - $3,298                </p>",https://www.thevaleapts.com,,"                June 3rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1000 Butternut Street NW,  Washington, DC,  20012,  ","Delivered, Leasing Up",,38.973532,-77.02704
